OBJECTID	Id	ORIG_FID	Long	Lat
1	0	0	-56.767851742963501	-64.312351641515022
2	0	0	-56.763158438411153	-64.311094058344054
3	0	0	-56.766361024041998	-64.310071386185484
4	0	0	-56.767523768307228	-64.309561077581634
5	0	0	-56.766919766533931	-64.308039985856624
6	0	0	-56.765740973866798	-64.307281542609076
7	0	0	-56.763979325185687	-64.306651357074429
8	0	0	-56.763081765810796	-64.305004085969756
9	0	0	-56.762776756242260	-64.303989798190571
10	0	0	-56.760419878674440	-64.302472852340202
11	0	0	-56.759818063153034	-64.301078640566743
12	0	0	-56.759492716315776	-64.298415047416484
13	0	0	-56.760658225096961	-64.298158561668231
14	0	0	-56.759178475206397	-64.296639561766312
15	0	0	-56.760047015257499	-64.296003161916360
16	0	0	-56.758272163629385	-64.294231114374384
17	0	0	-56.757088025392022	-64.292965165709802
18	0	0	-56.757953351266110	-64.292075054520126
19	0	0	-56.759699605352466	-64.291563485066717
20	0	0	-56.759977471582999	-64.290421003426502
21	0	0	-56.756464753845250	-64.289794864841099
22	0	0	-56.757914107549993	-64.288903406467000
23	0	0	-56.757892135313739	-64.287127300284624
24	0	0	-56.757286133448247	-64.285352568266376
25	0	0	-56.756981601419739	-64.284338342540423
26	0	0	-56.754925139683394	-64.283328183548804
27	0	0	-56.753440434528386	-64.281301759168798
28	0	0	-56.752552194827899	-64.280288881526644
29	0	0	-56.752237136234783	-64.278386642729345
30	0	0	-56.751052524954048	-64.276993857280672
31	0	0	-56.749582249421223	-64.276109167204254
32	0	0	-56.748978631658474	-64.274461330425993
33	0	0	-56.748670005915983	-64.273066555676962
34	0	0	-56.746613301362743	-64.271929452881920
35	0	0	-56.743967102899433	-64.270286200847465
36	0	0	-56.739570330906020	-64.268646764636458
37	0	0	-56.736923484930855	-64.266876537322275
38	0	0	-56.732808037061204	-64.264221432872773
39	0	0	-56.730463887598319	-64.263338448810316
40	0	0	-56.728117070746180	-64.262201720133248
41	0	0	-56.726055173507405	-64.260430086279428
42	0	0	-56.723121237854798	-64.258913949818862
43	0	0	-56.721350272197242	-64.257014809186046
