OBJECTID	Id	ORIG_FID	Long	Lat
1	0	0	-56.800070763754718	-64.316710998114047
2	0	0	-56.800354207580597	-64.316075832133890
3	0	0	-56.798289803931254	-64.314812471718142
4	0	0	-56.795935029877683	-64.313676727798736
5	0	0	-56.793582223540739	-64.312667823361323
6	0	0	-56.793275875780978	-64.311653576051640
7	0	0	-56.791513220758475	-64.311023746648573
8	0	0	-56.789167766379251	-64.310522274783125
9	0	0	-56.787405294818484	-64.309892393219343
10	0	0	-56.787090634625031	-64.308243770433592
11	0	0	-56.785029264388982	-64.307107113702273
12	0	0	-56.783270540303135	-64.306730932686378
13	0	0	-56.782386959090843	-64.306225650393401
14	0	0	-56.780001742086711	-64.302679089368439
15	0	0	-56.779363549887876	-64.298620689992788
16	0	0	-56.776416869942580	-64.296724912824402
17	0	0	-56.776401890834563	-64.295583096682549
18	0	0	-56.776099778881644	-64.294822611074608
19	0	0	-56.774630869419070	-64.294191875154866
20	0	0	-56.774617628700582	-64.293176936266548
21	0	0	-56.773734704892661	-64.292671622497323
22	0	0	-56.772558076893688	-64.292040150932166
23	0	0	-56.772549854392253	-64.291405819522936
24	0	0	-56.772536700908006	-64.290390892325775
25	0	0	-56.769607805955445	-64.289763673654591
26	0	0	-56.770764629983660	-64.288872780954023
27	0	0	-56.769284814442585	-64.287353948326029
28	0	0	-56.767810039601613	-64.286215699794695
29	0	0	-56.766044996879089	-64.285205002109137
30	0	0	-56.765444891868242	-64.283937771011267
31	0	0	-56.765423993422530	-64.282288561867574
32	0	0	-56.765990239857615	-64.280891687201574
33	0	0	-56.764809552318923	-64.279879592868895
34	0	0	-56.765670931068598	-64.278735755950322
35	0	0	-56.764487153459299	-64.277469948479279
36	0	0	-56.763890512637033	-64.276456465593355
37	0	0	-56.762710120075951	-64.275444370361356
38	0	0	-56.763866525919411	-64.274553587378136
39	0	0	-56.763565051585829	-64.273793134145762
40	0	0	-56.757697659619282	-64.271396603670269
41	0	0	-56.757096747017215	-64.270002545680882
42	0	0	-56.756494341540588	-64.268481637417608
43	0	0	-56.755316182895456	-64.267596360983248
44	0	0	-56.753552966696020	-64.266585568868891
45	0	0	-56.751210927042621	-64.265956654076263
46	0	0	-56.750612040613134	-64.264689449058778
47	0	0	-56.750309560837536	-64.263802141955239
48	0	0	-56.748245953088201	-64.262030843548530
49	0	0	-56.745904475511111	-64.261401845118996
50	0	0	-56.744713523110590	-64.259374837978328
51	0	0	-56.744990215725807	-64.258105679633388
52	0	0	-56.744686516469528	-64.257091532148422
53	0	0	-56.744092665344169	-64.256204888744605
54	0	0	-56.741165541156761	-64.255323422737717
