OBJECTID	Id	ORIG_FID	Long	Lat
1	0	0	-56.849718274378802	-64.321074433138563
2	0	0	-56.847144427273463	-64.316208732147231
3	0	0	-56.844904961594636	-64.312695780585784
4	0	0	-56.840478927460481	-64.308918589321422
5	0	0	-56.835738239428167	-64.304871494423878
6	0	0	-56.831942643538127	-64.301363024184184
7	0	0	-56.826265584089413	-64.297047696593893
8	0	0	-56.823385140112066	-64.292047516379739
9	0	0	-56.820528016454773	-64.288536240255269
10	0	0	-56.816439454716999	-64.285975873987354
11	0	0	-56.812675094080305	-64.284226650339576
12	0	0	-56.808206430282496	-64.276794412831862
13	0	0	-56.807239081718194	-64.274496068538667
14	0	0	-56.804092194698967	-64.272203610308338
15	0	0	-56.802506516362598	-64.270177629294096
16	0	0	-56.801828343003592	-64.266254373740310
17	0	0	-56.798352783454163	-64.262609286589282
18	0	0	-56.795810031307838	-64.258826375636659
19	0	0	-56.793596020939560	-64.256260679087006
20	0	0	-56.790410170792711	-64.250855374975515
21	0	0	-56.788815924615164	-64.248017404179791
22	0	0	-56.786318100799690	-64.247347124170403
23	0	0	-56.784438920619664	-64.246404559123050
